year month	day	rock	scissors	paper
2013 10 27 0 0 1
2013 11 3 0 1 0
2013 11 10 0 1 0
2013 11 17 0 0 1
2013 11 24 1 0 0
2013 12 1
2013 12 1
2013 12 8 0 0 1
2013 12 15 0 0 1
2013 12 22 0 1 0
2014 1 5 0 1 0
2014 1 12 1 0 0
2014 1 19 0 0 1
2014 1 26 1 0 0
2014 2 2 0 1 0
2014 2 9 0 0 1
2014 2 16 0 1 0
2014 2 23 1 0 0
2014 3 2 1 0 0
2014 3 9 0 0 1
2014 3 16 0 1 0
2014 3 23 0 0 1
2014 3 30 1 0 0
2014 4 6 0 1 0
2014 4 13 1 0 0
2014 4 20 1 0 0
2014 4 27 0 0 1
2014 5 4 0 1 0
2014 5 11 0 0 1
2014 5 18 1 0 0
2014 5 25 0 0 1
2014 6 1 0 1 0
2014 6 8 0 0 1
2014 6 15 1 0 0
2014 6 22 0 1 0
2014 6 29 0 0 1
2014 7 6 0 1 0
2014 7 13 1 0 0
2014 7 20 0 1 0
2014 7 27 0 1 0
2014 8 3 0 0 1
2014 8 10 1 0 0
2014 8 17 0 0 1
2014 8 24 0 1 0
2014 8 31 0 0 1
2014 9 7 1 0 0
2014 9 14 0 1 0
2014 9 21 0 0 1
2014 9 28 0 0 1
2014 10 5 0 1 0
2014 10 12 1 0 0
2014 10 19 1 0 0
2014 10 26 0 1 0
2014 11 2 0 0 1
2014 11 9 1 0 0
2014 11 16 0 0 1
2014 11 23 0 1 0
2014 11 30 1 0 0
2014 12 7 0 1 0
2014 12 21 0 0 1
2014 12 28 1 0 0
2015 1 4 0 1 0
2015 1 11 0 1 0
2015 1 18 1 0 0
2015 2 1 0 0 1
2015 2 8 0 0 1
2015 2 15 0 1 0
2015 2 22 1 0 0
2015 3 1 0 1 0
2015 3 8 0 0 1
2015 3 15 1 0 0
2015 3 22 0 1 0
2015 3 29 1 0 0
2015 4 5 0 1 0
2015 4 12 0 0 1
2015 4 19 1 0 0
2015 4 26 1 0 0
2015 5 3 0 1 0
2015 5 10 0 0 1
2015 5 17 1 0 0
2015 5 24 0 0 1
2015 5 31 0 1 0
2015 6 7 1 0 0
2015 6 14 0 1 0
2015 6 21 0 0 1
2015 6 28 0 0 1
2015 7 5 0 1 0
2015 7 12 1 0 0
2015 7 19 0 1 0
2015 7 26 0 1 0
2015 8 2 0 0 1
2015 8 9 1 0 0
2015 8 16 1 0 0
2015 8 23 0 0 1
2015 8 30 0 1 0
2015 9 6 1 0 0
2015 9 13 0 1 0
2015 9 20 0 0 1
2015 9 27 1 0 0
2015 10 4 0 1 0
2015 10 11 1 0 0
2015 10 18 0 0 1
2015 10 25 0 0 1
2015 11 1 0 1 0
2015 11 8 1 0 0
2015 11 15 1 0 0
2015 11 22 0 0 1
2015 11 29 0 1 0
2015 12 6 1 0 0
2015 12 13 0 0 1
2015 12 20 0 0 1
2016 1 10 0 1 0
2016 1 17 1 0 0
2016 1 24 0 1 0
2016 1 31 1 0 0
2016 2 7 0 0 1
2016 2 14 0 1 0
